,Complete,Cycle,E,Random - Random dist e = 0,E,Random - Random dist e = V,E,Random - Random dist e = (complete) * .25,E,Random - Random dist e = (complete) * .5,E,Random - Random dist e = (complete) * .75,E,Random - Random dist e = complete,E,Random - Skewed dist e = 0,E,Random - Skewed dist e = V,E,Random - Skewed dist e = (complete) * .25,E,Random - Skewed dist e = (complete) * .5,E,Random - Skewed dist e = (complete) * .75,E,Random - Skewed dist e = complete,E,Random - Tiered dist e = 0,E,Random - Tiered dist e = V,E,Random - Tiered dist e = (complete) * .25,E,Random - Tiered dist e = (complete) * .5,E,Random - Tiered dist e = (complete) * .75,E,Random - Tiered dist e = complete
V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,V,E,Time (microseconds),,,e = 0,e = v,25% density,50% density,75% density,100% density,,,,,,,,
4,0,1,,4,4,9,,4,1,6,,4,3,8,,4,4,10,,4,6,12,,4,1,9,6,8,10,12,,,,,,,,
8,0,0,,8,8,11,,8,7,16,,8,14,13,,8,21,17,,8,28,101,,8,0,11,16,13,17,101,,,,,,,,
16,0,1,,16,16,29,,16,30,35,,16,60,49,,16,90,74,,16,120,289,,16,1,29,35,49,74,289,,,,,,,,
32,0,1,,32,32,72,,32,124,121,,32,248,174,,32,372,312,,32,496,26370,,32,1,72,121,174,312,26370,,,,,,,,
64,0,10,,64,64,697,,64,504,740,,64,1008,1616,,64,1512,4773,,64,2016,585703,,64,10,697,740,1616,4773,585703,,,,,,,,
128,0,3,,128,128,795,,128,2032,1900,,128,4064,4522,,128,6096,13018,,128,8128,1.21E+07,,128,3,795,1900,4522,13018,1.21E+07,,,,,,,,
256,0,5,,256,256,3138,,256,8160,10718,,256,16320,42715,,256,24480,160156,,256,32640,7.46E+08,,256,5,3138,10718,42715,160156,7.46E+08,,,,,,,,
512,0,9,,512,512,12138,,512,32704,88331,,512,65408,530782,,512,98112,3.08E+06,,512,130816,5.97E+10,,512,9,12138,88331,530782,3.08E+06,5.97E+10,,,,,,,,
1024,0,20,,1024,1024,51613,,1024,130944,2.64E+06,,1024,261888,1.05E+07,,1024,392832,4.74E+07,,1024,523776,x,,1024,20,51613,2.64E+06,1.05E+07,4.74E+07,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Random - Tiered dist e = 0,,,,Random - Tiered dist e = V,,,,Random - Tiered dist e = (complete) * .25,,,,Random - Tiered dist e = (complete) * .5,,,Random - Tiered dist e = (complete) * .75,,,,Random - Tiered dist e = (complete),,,,,,,,,,,,,,,,,,
